Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
169922,USB-C Charging Cable,1,11.95,04/16/19 15:01,"362 Lake St, Boston, MA 02215"
169922,LG Washing Machine,1,600.0,04/16/19 15:01,"362 Lake St, Boston, MA 02215"
169923,USB-C Charging Cable,1,11.95,04/16/19 18:49,"897 River St, Boston, MA 02215"
169924,Flatscreen TV,1,300.0,04/01/19 08:22,"935 Center St, Boston, MA 02215"
169924,Apple Airpods Headphones,1,150.0,04/01/19 08:22,"935 Center St, Boston, MA 02215"
169925,34in Ultrawide Monitor,1,379.99,04/05/19 18:15,"411 Ridge St, Atlanta, GA 30301"
169926,AA Batteries (4-pack),1,3.84,04/29/19 14:59,"985 Lake St, Los Angeles, CA 90001"
169927,Macbook Pro Laptop,1,1700.0,04/28/19 11:20,"904 Park St, Boston, MA 02215"
169928,USB-C Charging Cable,1,11.95,04/15/19 20:59,"628 Church St, Portland, OR 97035"
169929,USB-C Charging Cable,1,11.95,04/18/19 10:15,"319 Park St, San Francisco, CA 94016"
169930,27in 4K Gaming Monitor,1,389.99,04/01/19 10:25,"600 Cedar St, Los Angeles, CA 90001"
169931,27in 4K Gaming Monitor,1,389.99,04/01/19 09:58,"468 Lincoln St, Los Angeles, CA 90001"
169932,AAA Batteries (4-pack),3,2.99,04/15/19 15:25,"940 Cedar St, Atlanta, GA 30301"
169933,27in 4K Gaming Monitor,1,389.99,04/20/19 13:06,"544 11th St, Atlanta, GA 30301"
169934,AAA Batteries (4-pack),1,2.99,04/28/19 23:27,"629 Spruce St, Atlanta, GA 30301"
169935,Lightning Charging Cable,1,14.95,04/29/19 10:36,"302 13th St, San Francisco, CA 94016"
169936,Flatscreen TV,1,300.0,04/02/19 08:05,"401 4th St, New York City, NY 10001"
169937,USB-C Charging Cable,1,11.95,04/11/19 12:50,"609 Adams St, San Francisco, CA 94016"
169938,Wired Headphones,1,11.99,04/16/19 20:12,"543 Cedar St, Boston, MA 02215"
169939,27in FHD Monitor,1,149.99,04/07/19 18:28,"150 2nd St, San Francisco, CA 94016"
169940,AAA Batteries (4-pack),1,2.99,04/23/19 10:35,"518 Madison St, Seattle, WA 98101"
169941,Google Phone,1,600.0,04/02/19 21:21,"689 1st St, Seattle, WA 98101"
169942,USB-C Charging Cable,1,11.95,04/13/19 18:23,"216 River St, San Francisco, CA 94016"
169943,Lightning Charging Cable,3,14.95,04/14/19 11:12,"92 Ridge St, San Francisco, CA 94016"
169944,Bose SoundSport Headphones,1,99.99,04/29/19 17:00,"290 Willow St, Los Angeles, CA 90001"
169945,USB-C Charging Cable,1,11.95,04/12/19 12:37,"595 Maple St, Los Angeles, CA 90001"
169946,AA Batteries (4-pack),1,3.84,04/03/19 10:11,"487 Ridge St, Seattle, WA 98101"
169947,Lightning Charging Cable,1,14.95,04/06/19 18:15,"32 5th St, San Francisco, CA 94016"
169948,Wired Headphones,1,11.99,04/23/19 14:18,"369 River St, Dallas, TX 75001"
169949,AAA Batteries (4-pack),1,2.99,04/10/19 04:28,"605 Ridge St, Boston, MA 02215"
169950,20in Monitor,1,109.99,04/13/19 22:29,"754 14th St, San Francisco, CA 94016"
169951,USB-C Charging Cable,1,11.95,04/28/19 14:00,"488 Ridge St, Los Angeles, CA 90001"
169952,USB-C Charging Cable,1,11.95,04/20/19 01:18,"664 Wilson St, Los Angeles, CA 90001"
169953,iPhone,1,700.0,04/29/19 22:56,"522 River St, San Francisco, CA 94016"
169954,AAA Batteries (4-pack),3,2.99,04/09/19 19:39,"950 Maple St, Atlanta, GA 30301"
169955,Wired Headphones,2,11.99,04/27/19 18:41,"117 11th St, Austin, TX 73301"
169956,Wired Headphones,1,11.99,04/04/19 19:55,"351 Cedar St, Portland, OR 97035"
169957,Wired Headphones,1,11.99,04/12/19 20:28,"902 Meadow St, San Francisco, CA 94016"
169958,Lightning Charging Cable,1,14.95,04/25/19 09:39,"173 Elm St, Seattle, WA 98101"
169959,AAA Batteries (4-pack),1,2.99,04/28/19 21:31,"864 River St, Dallas, TX 75001"
169960,Wired Headphones,1,11.99,04/17/19 09:53,"886 Meadow St, San Francisco, CA 94016"
169961,AA Batteries (4-pack),1,3.84,04/05/19 10:41,"525 Spruce St, Los Angeles, CA 90001"
169962,Lightning Charging Cable,1,14.95,04/16/19 19:12,"235 Lake St, Los Angeles, CA 90001"
169963,Macbook Pro Laptop,1,1700.0,04/18/19 21:37,"88 River St, Los Angeles, CA 90001"
169964,AA Batteries (4-pack),1,3.84,04/07/19 17:06,"610 10th St, New York City, NY 10001"
169965,AA Batteries (4-pack),1,3.84,04/28/19 13:42,"492 Hickory St, San Francisco, CA 94016"
169966,Flatscreen TV,1,300.0,04/04/19 19:38,"58 13th St, Seattle, WA 98101"
169967,USB-C Charging Cable,2,11.95,04/07/19 02:21,"272 Johnson St, New York City, NY 10001"
169968,Apple Airpods Headphones,1,150.0,04/17/19 12:23,"35 Jefferson St, Austin, TX 73301"
169969,AA Batteries (4-pack),2,3.84,04/29/19 22:50,"92 Hickory St, Boston, MA 02215"
169970,Apple Airpods Headphones,1,150.0,04/08/19 15:37,"407 Maple St, San Francisco, CA 94016"
169971,AA Batteries (4-pack),1,3.84,04/10/19 07:26,"557 Jackson St, Boston, MA 02215"
169972,Wired Headphones,1,11.99,04/20/19 20:08,"845 1st St, San Francisco, CA 94016"
169973,Wired Headphones,1,11.99,04/03/19 07:54,"369 Highland St, Los Angeles, CA 90001"
169974,27in FHD Monitor,1,149.99,04/10/19 09:20,"726 Main St, Los Angeles, CA 90001"
169975,AA Batteries (4-pack),1,3.84,04/16/19 16:32,"877 14th St, San Francisco, CA 94016"
169976,Bose SoundSport Headphones,1,99.99,04/16/19 14:43,"379 Main St, Portland, ME 04101"
169977,AA Batteries (4-pack),2,3.84,04/08/19 18:06,"10 Cherry St, San Francisco, CA 94016"
169978,iPhone,1,700.0,04/20/19 16:40,"29 Spruce St, San Francisco, CA 94016"
169979,USB-C Charging Cable,1,11.95,04/10/19 13:08,"292 Elm St, San Francisco, CA 94016"
169980,USB-C Charging Cable,1,11.95,04/17/19 12:49,"389 9th St, Austin, TX 73301"
169981,Bose SoundSport Headphones,1,99.99,04/17/19 09:00,"495 9th St, Boston, MA 02215"
169982,AA Batteries (4-pack),1,3.84,04/17/19 00:02,"165 Church St, San Francisco, CA 94016"
169983,AAA Batteries (4-pack),2,2.99,04/26/19 12:23,"475 Church St, New York City, NY 10001"
169984,Google Phone,1,600.0,04/16/19 08:12,"563 Jefferson St, Austin, TX 73301"
169984,Bose SoundSport Headphones,1,99.99,04/16/19 08:12,"563 Jefferson St, Austin, TX 73301"
169985,20in Monitor,1,109.99,04/11/19 12:26,"230 Center St, New York City, NY 10001"
169986,USB-C Charging Cable,2,11.95,04/03/19 12:07,"213 North St, Atlanta, GA 30301"
169987,Apple Airpods Headphones,1,150.0,04/18/19 21:14,"901 Lakeview St, Dallas, TX 75001"
169988,27in FHD Monitor,1,149.99,04/05/19 13:56,"913 5th St, Los Angeles, CA 90001"
169989,AAA Batteries (4-pack),1,2.99,04/04/19 19:34,"871 6th St, Los Angeles, CA 90001"
169990,20in Monitor,1,109.99,04/17/19 09:39,"457 Pine St, Seattle, WA 98101"
169991,AA Batteries (4-pack),1,3.84,04/18/19 23:00,"245 South St, San Francisco, CA 94016"
169992,AAA Batteries (4-pack),3,2.99,04/28/19 19:02,"902 North St, Seattle, WA 98101"
169993,USB-C Charging Cable,1,11.95,04/02/19 19:57,"241 Cherry St, Dallas, TX 75001"
169994,Lightning Charging Cable,1,14.95,04/22/19 21:20,"703 South St, San Francisco, CA 94016"
169995,Bose SoundSport Headphones,1,99.99,04/21/19 21:56,"96 South St, San Francisco, CA 94016"
169996,Bose SoundSport Headphones,1,99.99,04/22/19 12:38,"82 10th St, San Francisco, CA 94016"
169997,USB-C Charging Cable,1,11.95,04/13/19 18:42,"385 Ridge St, New York City, NY 10001"
169998,AAA Batteries (4-pack),1,2.99,04/30/19 16:32,"28 1st St, Austin, TX 73301"
169999,Macbook Pro Laptop,1,1700.0,04/16/19 17:50,"729 Forest St, Dallas, TX 75001"
170000,Macbook Pro Laptop,1,1700.0,04/16/19 16:41,"352 Spruce St, San Francisco, CA 94016"
170001,Apple Airpods Headphones,1,150.0,04/18/19 14:13,"466 Dogwood St, Portland, ME 04101"
170002,27in 4K Gaming Monitor,1,389.99,04/19/19 20:50,"462 Jackson St, Austin, TX 73301"
170003,AAA Batteries (4-pack),1,2.99,04/22/19 18:23,"382 Lincoln St, New York City, NY 10001"
170004,Bose SoundSport Headphones,1,99.99,04/07/19 10:33,"903 Walnut St, Boston, MA 02215"
170005,AA Batteries (4-pack),1,3.84,04/21/19 22:00,"930 Jackson St, San Francisco, CA 94016"
170006,Lightning Charging Cable,1,14.95,04/20/19 00:00,"820 Wilson St, Boston, MA 02215"
170007,Google Phone,1,600.0,04/27/19 20:14,"216 Jackson St, New York City, NY 10001"
170008,AAA Batteries (4-pack),1,2.99,04/11/19 11:10,"776 River St, Los Angeles, CA 90001"
170009,Lightning Charging Cable,1,14.95,04/10/19 17:41,"668 Dogwood St, Los Angeles, CA 90001"
170009,Apple Airpods Headphones,1,150.0,04/10/19 17:41,"668 Dogwood St, Los Angeles, CA 90001"
170010,27in FHD Monitor,1,149.99,04/03/19 11:59,"596 Dogwood St, Los Angeles, CA 90001"
170011,AA Batteries (4-pack),1,3.84,04/28/19 18:37,"709 Dogwood St, San Francisco, CA 94016"
170012,AA Batteries (4-pack),1,3.84,04/17/19 19:38,"307 West St, Seattle, WA 98101"
170013,ThinkPad Laptop,1,999.99,04/10/19 11:25,"448 1st St, Boston, MA 02215"
