Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
150303,Lightning Charging Cable,1,14.95,02/17/19 14:47,"727 10th St, Austin, TX 73301"
150304,34in Ultrawide Monitor,1,379.99,02/09/19 10:22,"50 6th St, San Francisco, CA 94016"
150305,AA Batteries (4-pack),1,3.84,02/24/19 12:33,"874 10th St, Los Angeles, CA 90001"
150306,Bose SoundSport Headphones,1,99.99,02/17/19 22:16,"881 1st St, Dallas, TX 75001"
150307,Apple Airpods Headphones,1,150.0,02/11/19 17:13,"662 14th St, Dallas, TX 75001"
150308,Apple Airpods Headphones,1,150.0,02/12/19 08:59,"761 North St, San Francisco, CA 94016"
150309,Apple Airpods Headphones,1,150.0,02/16/19 10:08,"420 Forest St, Los Angeles, CA 90001"
150310,AAA Batteries (4-pack),1,2.99,02/27/19 23:43,"602 6th St, Dallas, TX 75001"
150311,20in Monitor,1,109.99,02/26/19 23:21,"638 Madison St, Boston, MA 02215"
150312,Lightning Charging Cable,1,14.95,02/26/19 12:51,"492 Main St, New York City, NY 10001"
150313,Vareebadd Phone,1,400.0,02/26/19 14:37,"183 2nd St, New York City, NY 10001"
150314,20in Monitor,1,109.99,02/11/19 19:16,"654 Willow St, Los Angeles, CA 90001"
150315,AA Batteries (4-pack),2,3.84,02/20/19 15:58,"235 Hill St, Portland, OR 97035"
150316,USB-C Charging Cable,2,11.95,02/14/19 16:50,"801 North St, Portland, OR 97035"
150317,Apple Airpods Headphones,1,150.0,02/25/19 08:19,"203 Chestnut St, Seattle, WA 98101"
150318,27in FHD Monitor,1,149.99,02/02/19 11:13,"564 Park St, Boston, MA 02215"
150318,AAA Batteries (4-pack),2,2.99,02/02/19 11:13,"564 Park St, Boston, MA 02215"
150319,Wired Headphones,1,11.99,02/09/19 20:14,"119 Walnut St, San Francisco, CA 94016"
150320,ThinkPad Laptop,1,999.99,02/26/19 20:15,"151 Park St, Los Angeles, CA 90001"
150321,Wired Headphones,1,11.99,02/26/19 14:57,"655 10th St, Atlanta, GA 30301"
150322,USB-C Charging Cable,1,11.95,02/04/19 12:34,"228 Washington St, Los Angeles, CA 90001"
150323,USB-C Charging Cable,1,11.95,02/18/19 18:06,"876 West St, Los Angeles, CA 90001"
150324,Apple Airpods Headphones,1,150.0,02/02/19 11:14,"167 Wilson St, New York City, NY 10001"
