Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,AAA Batteries (4-pack),2,2.99,01/23/19 20:55,"805 Lake St, Seattle, WA 98101"
141235,Google Phone,1,600.0,01/13/19 14:49,"998 Madison St, Atlanta, GA 30301"
141235,USB-C Charging Cable,1,11.95,01/13/19 14:49,"998 Madison St, Atlanta, GA 30301"
141235,Bose SoundSport Headphones,1,99.99,01/13/19 14:49,"998 Madison St, Atlanta, GA 30301"
141236,Bose SoundSport Headphones,1,99.99,01/23/19 06:50,"209 2nd St, San Francisco, CA 94016"
141237,AAA Batteries (4-pack),1,2.99,01/01/19 07:36,"849 12th St, New York City, NY 10001"
141238,Bose SoundSport Headphones,2,99.99,01/27/19 11:19,"137 8th St, Los Angeles, CA 90001"
141239,AA Batteries (4-pack),3,3.84,01/02/19 10:19,"946 Church St, Portland, OR 97035"
141240,AA Batteries (4-pack),1,3.84,01/26/19 07:05,"11 Main St, Dallas, TX 75001"
141241,USB-C Charging Cable,1,11.95,01/31/19 13:29,"432 Cedar St, Portland, OR 97035"
141242,AA Batteries (4-pack),1,3.84,01/01/19 18:22,"996 1st St, Dallas, TX 75001"
141243,Lightning Charging Cable,1,14.95,01/20/19 13:17,"154 9th St, New York City, NY 10001"
141244,Flatscreen TV,1,300.0,01/01/19 10:15,"718 8th St, Los Angeles, CA 90001"
141245,USB-C Charging Cable,1,11.95,01/23/19 13:38,"885 Dogwood St, Los Angeles, CA 90001"
141246,AA Batteries (4-pack),1,3.84,01/09/19 21:10,"284 Johnson St, Los Angeles, CA 90001"
141247,27in FHD Monitor,1,149.99,01/08/19 20:29,"454 Cedar St, Los Angeles, CA 90001"
141248,AAA Batteries (4-pack),1,2.99,01/07/19 17:39,"102 Sunset St, San Francisco, CA 94016"
141249,Apple Airpods Headphones,1,150.0,01/22/19 14:47,"68 2nd St, Seattle, WA 98101"
141250,20in Monitor,1,109.99,01/12/19 13:23,"273 Jefferson St, San Francisco, CA 94016"
141251,Apple Airpods Headphones,1,150.0,01/12/19 13:42,"420 South St, San Francisco, CA 94016"
141252,Bose SoundSport Headphones,1,99.99,01/04/19 15:17,"923 Pine St, Atlanta, GA 30301"
141253,27in 4K Gaming Monitor,1,389.99,01/13/19 12:26,"329 11th St, Austin, TX 73301"
141254,Lightning Charging Cable,1,14.95,01/07/19 14:21,"446 Wilson St, Austin, TX 73301"
141255,AA Batteries (4-pack),1,3.84,01/04/19 08:57,"943 Wilson St, Dallas, TX 75001"
141256,34in Ultrawide Monitor,1,379.99,01/02/19 19:51,"28 Lake St, San Francisco, CA 94016"
141257,Lightning Charging Cable,1,14.95,01/10/19 17:10,"283 Maple St, Austin, TX 73301"
141258,USB-C Charging Cable,1,11.95,01/11/19 13:57,"634 Lake St, Atlanta, GA 30301"
141259,27in FHD Monitor,2,149.99,01/08/19 21:31,"487 Elm St, Los Angeles, CA 90001"
141260,AAA Batteries (4-pack),2,2.99,01/16/19 09:08,"346 Meadow St, Seattle, WA 98101"
141261,Flatscreen TV,1,300.0,01/01/19 18:26,"216 Elm St, San Francisco, CA 94016"
141262,Bose SoundSport Headphones,1,99.99,01/25/19 17:18,"200 Adams St, Los Angeles, CA 90001"
141263,AA Batteries (4-pack),1,3.84,01/20/19 18:40,"132 Johnson St, Los Angeles, CA 90001"
141264,AAA Batteries (4-pack),1,2.99,01/30/19 18:21,"478 Willow St, Seattle, WA 98101"
141265,Flatscreen TV,1,300.0,01/27/19 20:04,"59 Forest St, San Francisco, CA 94016"
141266,iPhone,1,700.0,01/20/19 00:40,"200 1st St, Los Angeles, CA 90001"
141267,Lightning Charging Cable,1,14.95,01/09/19 09:50,"107 Walnut St, San Francisco, CA 94016"
141268,USB-C Charging Cable,1,11.95,01/07/19 22:07,"910 Forest St, Boston, MA 02215"
141269,AAA Batteries (4-pack),2,2.99,01/23/19 12:17,"679 Center St, Austin, TX 73301"
141270,Flatscreen TV,1,300.0,01/25/19 07:24,"734 14th St, Los Angeles, CA 90001"
141271,AA Batteries (4-pack),1,3.84,01/04/19 10:27,"292 Wilson St, Los Angeles, CA 90001"
141272,34in Ultrawide Monitor,1,379.99,01/05/19 15:06,"937 Highland St, San Francisco, CA 94016"
141273,iPhone,1,700.0,01/07/19 13:55,"369 12th St, Los Angeles, CA 90001"
141274,AA Batteries (4-pack),3,3.84,01/10/19 20:27,"209 Main St, Portland, OR 97035"
141275,USB-C Charging Cable,1,11.95,01/04/19 16:57,"262 Washington St, Atlanta, GA 30301"
141276,27in 4K Gaming Monitor,1,389.99,01/27/19 11:25,"377 Ridge St, Atlanta, GA 30301"
141277,Lightning Charging Cable,1,14.95,01/22/19 20:37,"98 2nd St, New York City, NY 10001"
141278,Lightning Charging Cable,1,14.95,01/28/19 10:30,"607 Jackson St, Los Angeles, CA 90001"
141279,Wired Headphones,1,11.99,01/31/19 21:04,"859 Walnut St, San Francisco, CA 94016"
141280,LG Washing Machine,1,600.0,01/28/19 11:15,"375 14th St, San Francisco, CA 94016"
141281,Wired Headphones,1,11.99,01/02/19 13:06,"50 8th St, Los Angeles, CA 90001"
141282,Lightning Charging Cable,1,14.95,01/03/19 17:58,"403 Dogwood St, New York City, NY 10001"
141283,Lightning Charging Cable,1,14.95,01/10/19 22:38,"590 Wilson St, San Francisco, CA 94016"
141284,27in FHD Monitor,1,149.99,01/06/19 07:01,"295 1st St, Dallas, TX 75001"
141285,27in 4K Gaming Monitor,1,389.99,01/31/19 09:28,"57 Madison St, San Francisco, CA 94016"
141286,AAA Batteries (4-pack),2,2.99,01/19/19 14:27,"820 7th St, San Francisco, CA 94016"
141287,27in 4K Gaming Monitor,1,389.99,01/24/19 11:57,"79 Ridge St, Atlanta, GA 30301"
141288,AA Batteries (4-pack),4,3.84,01/23/19 16:48,"756 Center St, San Francisco, CA 94016"
141289,Apple Airpods Headphones,1,150.0,01/13/19 14:07,"506 6th St, New York City, NY 10001"
141290,iPhone,1,700.0,01/27/19 20:16,"657 Pine St, Los Angeles, CA 90001"
141291,Lightning Charging Cable,1,14.95,01/27/19 09:51,"567 Dogwood St, Boston, MA 02215"
141292,USB-C Charging Cable,1,11.95,01/22/19 17:43,"609 Cedar St, New York City, NY 10001"
141293,AAA Batteries (4-pack),1,2.99,01/12/19 13:15,"224 South St, Boston, MA 02215"
141294,Wired Headphones,1,11.99,01/03/19 16:35,"703 Main St, Los Angeles, CA 90001"
141295,AAA Batteries (4-pack),3,2.99,01/10/19 08:14,"813 Maple St, Los Angeles, CA 90001"
141296,Lightning Charging Cable,2,14.95,01/05/19 15:38,"346 West St, New York City, NY 10001"
141297,AA Batteries (4-pack),2,3.84,01/14/19 16:11,"414 Center St, Austin, TX 73301"
141298,Wired Headphones,1,11.99,01/05/19 21:29,"100 South St, San Francisco, CA 94016"
,,,,,
141299,iPhone,1,700,01/13/19 23:35,"320 River St, Los Angeles, CA 90001"
141300,Wired Headphones,1,11.99,01/29/19 09:18,"427 Madison St, New York City, NY 10001"
141301,Wired Headphones,1,11.99,01/05/19 17:04,"366 Maple St, Atlanta, GA 30301"
141302,Wired Headphones,2,11.99,01/31/19 14:16,"503 Spruce St, New York City, NY 10001"
141303,27in 4K Gaming Monitor,1,389.99,01/17/19 00:16,"216 13th St, New York City, NY 10001"
141304,27in FHD Monitor,1,149.99,01/22/19 20:21,"845 West St, Portland, OR 97035"
141305,27in FHD Monitor,1,149.99,01/19/19 17:02,"997 Pine St, New York City, NY 10001"
141306,USB-C Charging Cable,1,11.95,01/17/19 21:36,"663 Jefferson St, Boston, MA 02215"
141307,Flatscreen TV,1,300,01/10/19 22:05,"781 14th St, Los Angeles, CA 90001"
141308,Lightning Charging Cable,1,14.95,01/13/19 09:03,"660 Highland St, Los Angeles, CA 90001"
141309,Wired Headphones,1,11.99,01/10/19 21:14,"66 7th St, Los Angeles, CA 90001"
141310,Apple Airpods Headphones,1,150,01/29/19 16:59,"508 Johnson St, New York City, NY 10001"
141311,AAA Batteries (4-pack),1,2.99,01/23/19 11:25,"581 Willow St, Boston, MA 02215"
141312,USB-C Charging Cable,1,11.95,01/11/19 17:07,"593 Meadow St, New York City, NY 10001"
141313,AA Batteries (4-pack),3,3.84,01/06/19 21:35,"316 West St, Austin, TX 73301"
141314,Bose SoundSport Headphones,1,99.99,01/03/19 15:45,"440 12th St, San Francisco, CA 94016"
141315,Flatscreen TV,1,300,01/03/19 14:31,"855 9th St, New York City, NY 10001"
141316,27in FHD Monitor,1,149.99,01/29/19 13:15,"803 Meadow St, San Francisco, CA 94016"
141317,Wired Headphones,2,11.99,01/23/19 10:50,"779 Church St, Seattle, WA 98101"
141318,Lightning Charging Cable,1,14.95,01/28/19 08:19,"737 North St, San Francisco, CA 94016"
141319,iPhone,1,700,01/01/19 15:32,"209 Adams St, Seattle, WA 98101"
141320,AAA Batteries (4-pack),1,2.99,01/05/19 13:17,"909 Washington St, Atlanta, GA 30301"
141321,AAA Batteries (4-pack),1,2.99,01/04/19 08:08,"144 Forest St, New York City, NY 10001"
141322,AAA Batteries (4-pack),3,2.99,01/19/19 03:09,"115 10th St, Austin, TX 73301"
141323,Wired Headphones,1,11.99,01/26/19 23:25,"670 Park St, San Francisco, CA 94016"
141324,Wired Headphones,1,11.99,01/18/19 10:17,"113 Lakeview St, New York City, NY 10001"
141325,USB-C Charging Cable,1,11.95,01/28/19 20:36,"492 Johnson St, New York City, NY 10001"
141326,Wired Headphones,1,11.99,01/09/19 14:39,"407 Willow St, San Francisco, CA 94016"
141327,USB-C Charging Cable,1,11.95,01/01/19 04:28,"92 Sunset St, San Francisco, CA 94016"
141328,Lightning Charging Cable,1,14.95,01/28/19 09:35,"809 13th St, San Francisco, CA 94016"
141329,Apple Airpods Headphones,1,150,01/26/19 15:32,"341 Chestnut St, San Francisco, CA 94016"
141329,Lightning Charging Cable,1,14.95,01/26/19 15:32,"341 Chestnut St, San Francisco, CA 94016"
141330,27in 4K Gaming Monitor,1,389.99,01/22/19 20:09,"679 South St, San Francisco, CA 94016"
141331,USB-C Charging Cable,1,11.95,01/11/19 12:34,"173 Spruce St, Boston, MA 02215"
141332,Wired Headphones,1,11.99,01/29/19 19:27,"543 Center St, Atlanta, GA 30301"
141333,Wired Headphones,1,11.99,01/15/19 12:04,"454 West St, Austin, TX 73301"
141334,USB-C Charging Cable,1,11.95,01/13/19 12:30,"562 6th St, Austin, TX 73301"
141335,AA Batteries (4-pack),1,3.84,01/18/19 10:36,"348 2nd St, San Francisco, CA 94016"
141336,27in FHD Monitor,1,149.99,01/08/19 20:29,"842 West St, Los Angeles, CA 90001"
141337,AAA Batteries (4-pack),2,2.99,01/26/19 16:21,"981 Sunset St, Los Angeles, CA 90001"
141338,Wired Headphones,1,11.99,01/25/19 00:54,"257 11th St, Austin, TX 73301"
141339,LG Dryer,1,600.0,01/02/19 13:17,"575 North St, Atlanta, GA 30301"
141340,AAA Batteries (4-pack),1,2.99,01/19/19 21:18,"342 12th St, Los Angeles, CA 90001"
141341,ThinkPad Laptop,1,999.99,01/31/19 13:41,"576 11th St, San Francisco, CA 94016"
141342,Apple Airpods Headphones,1,150,01/08/19 22:01,"27 9th St, Austin, TX 73301"
141343,Wired Headphones,1,11.99,01/14/19 22:20,"139 9th St, New York City, NY 10001"
141344,Wired Headphones,1,11.99,01/14/19 10:25,"215 13th St, Los Angeles, CA 90001"
141345,AAA Batteries (4-pack),1,2.99,01/19/19 11:13,"78 Main St, San Francisco, CA 94016"
141346,Bose SoundSport Headphones,1,99.99,01/02/19 17:49,"805 Wilson St, New York City, NY 10001"
141347,USB-C Charging Cable,2,11.95,01/09/19 12:01,"41 Main St, San Francisco, CA 94016"
141348,Lightning Charging Cable,1,14.95,01/17/19 07:26,"643 West St, Los Angeles, CA 90001"
141349,AA Batteries (4-pack),1,3.84,01/31/19 17:57,"906 5th St, San Francisco, CA 94016"
141350,AA Batteries (4-pack),1,3.84,01/18/19 10:43,"802 Hickory St, Boston, MA 02215"
141351,27in FHD Monitor,1,149.99,01/07/19 12:11,"414 Lake St, Atlanta, GA 30301"
141352,Wired Headphones,1,11.99,01/16/19 22:09,"712 Lakeview St, Boston, MA 02215"
141353,AAA Batteries (4-pack),1,2.99,01/21/19 08:39,"927 Highland St, Los Angeles, CA 90001"
141354,Lightning Charging Cable,1,14.95,01/31/19 01:56,"110 Jackson St, Boston, MA 02215"
141355,Wired Headphones,1,11.99,01/18/19 12:46,"841 Maple St, Los Angeles, CA 90001"
141356,AAA Batteries (4-pack),4,2.99,01/13/19 09:45,"659 Dogwood St, Boston, MA 02215"
141357,27in 4K Gaming Monitor,1,389.99,01/03/19 10:19,"595 9th St, San Francisco, CA 94016"
