Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
163635,Wired Headphones,1,11.99,03/27/19 20:08,"812 Cedar St, New York City, NY 10001"
163636,Lightning Charging Cable,1,14.95,03/01/19 20:21,"303 2nd St, New York City, NY 10001"
163637,Google Phone,1,600.0,03/21/19 18:33,"266 Wilson St, Atlanta, GA 30301"
163637,USB-C Charging Cable,1,11.95,03/21/19 18:33,"266 Wilson St, Atlanta, GA 30301"
163638,Macbook Pro Laptop,1,1700.0,03/06/19 14:32,"926 Spruce St, Los Angeles, CA 90001"
163639,Bose SoundSport Headphones,1,99.99,03/08/19 14:21,"937 Hickory St, Austin, TX 73301"
163640,Apple Airpods Headphones,1,150.0,03/02/19 11:09,"823 2nd St, Dallas, TX 75001"
163641,Lightning Charging Cable,1,14.95,03/25/19 20:12,"549 7th St, San Francisco, CA 94016"
163642,Google Phone,1,600.0,03/07/19 13:40,"576 Maple St, San Francisco, CA 94016"
163642,USB-C Charging Cable,1,11.95,03/07/19 13:40,"576 Maple St, San Francisco, CA 94016"
163643,LG Dryer,1,600.0,03/20/19 18:12,"756 Forest St, San Francisco, CA 94016"
163644,Lightning Charging Cable,1,14.95,03/01/19 18:29,"274 12th St, Los Angeles, CA 90001"
163645,Wired Headphones,1,11.99,03/05/19 22:22,"580 Lake St, New York City, NY 10001"
163646,AAA Batteries (4-pack),1,2.99,03/04/19 11:08,"635 North St, Austin, TX 73301"
163647,USB-C Charging Cable,1,11.95,03/02/19 12:55,"113 Jefferson St, New York City, NY 10001"
163648,AA Batteries (4-pack),1,3.84,03/17/19 21:05,"267 Park St, Atlanta, GA 30301"
163649,AA Batteries (4-pack),2,3.84,03/25/19 08:43,"930 11th St, Atlanta, GA 30301"
163650,Lightning Charging Cable,1,14.95,03/06/19 14:54,"239 Dogwood St, Portland, OR 97035"
163651,Google Phone,1,600.0,03/10/19 12:07,"320 Spruce St, Boston, MA 02215"
163652,USB-C Charging Cable,1,11.95,03/09/19 09:25,"981 Jackson St, San Francisco, CA 94016"
163653,Apple Airpods Headphones,1,150.0,03/02/19 20:36,"653 North St, San Francisco, CA 94016"
163654,Lightning Charging Cable,1,14.95,03/09/19 19:09,"175 Chestnut St, Dallas, TX 75001"
163655,34in Ultrawide Monitor,1,379.99,03/09/19 11:03,"894 Jefferson St, Austin, TX 73301"
163656,USB-C Charging Cable,1,11.95,03/30/19 17:43,"219 Pine St, Seattle, WA 98101"
163657,AAA Batteries (4-pack),1,2.99,03/16/19 10:30,"147 Cherry St, Atlanta, GA 30301"
163658,Bose SoundSport Headphones,1,99.99,03/02/19 21:56,"718 Hill St, Atlanta, GA 30301"
163659,Lightning Charging Cable,1,14.95,03/07/19 10:27,"893 Center St, Los Angeles, CA 90001"
163660,20in Monitor,1,109.99,03/14/19 00:30,"758 12th St, Los Angeles, CA 90001"
163661,27in FHD Monitor,1,149.99,03/07/19 09:24,"929 Walnut St, New York City, NY 10001"
163662,AA Batteries (4-pack),1,3.84,03/01/19 09:14,"516 Center St, Austin, TX 73301"
163663,USB-C Charging Cable,1,11.95,03/07/19 11:08,"743 14th St, Dallas, TX 75001"
163664,Bose SoundSport Headphones,1,99.99,03/12/19 17:35,"463 Lincoln St, San Francisco, CA 94016"
163665,AAA Batteries (4-pack),1,2.99,03/10/19 16:17,"785 Hill St, San Francisco, CA 94016"
163666,Bose SoundSport Headphones,1,99.99,03/14/19 19:49,"978 Sunset St, Dallas, TX 75001"
163667,Bose SoundSport Headphones,1,99.99,03/12/19 19:20,"933 12th St, New York City, NY 10001"
163668,iPhone,1,700.0,03/23/19 23:59,"659 9th St, Seattle, WA 98101"
163669,Wired Headphones,1,11.99,03/13/19 11:33,"986 Madison St, New York City, NY 10001"
163670,34in Ultrawide Monitor,1,379.99,03/29/19 20:46,"762 North St, New York City, NY 10001"
163671,ThinkPad Laptop,1,999.99,03/19/19 23:12,"838 Highland St, Los Angeles, CA 90001"
163672,Lightning Charging Cable,1,14.95,03/02/19 21:28,"286 Hickory St, Atlanta, GA 30301"
163673,Wired Headphones,1,11.99,03/09/19 19:15,"874 Lake St, Portland, OR 97035"
163674,AA Batteries (4-pack),1,3.84,03/25/19 16:03,"626 4th St, San Francisco, CA 94016"
163675,Apple Airpods Headphones,1,150.0,03/05/19 14:25,"979 Cedar St, Dallas, TX 75001"
163676,Apple Airpods Headphones,1,150.0,03/29/19 10:47,"208 Elm St, Austin, TX 73301"
163677,AA Batteries (4-pack),1,3.84,03/04/19 00:33,"818 Madison St, Portland, OR 97035"
163678,Google Phone,1,600.0,03/25/19 10:49,"971 Cedar St, Boston, MA 02215"
163679,34in Ultrawide Monitor,1,379.99,03/21/19 11:12,"576 Main St, Los Angeles, CA 90001"
163680,Lightning Charging Cable,1,14.95,03/12/19 23:13,"510 Lincoln St, Los Angeles, CA 90001"
163681,Lightning Charging Cable,1,14.95,03/21/19 16:14,"849 Park St, San Francisco, CA 94016"
163682,27in FHD Monitor,1,149.99,03/11/19 15:28,"29 Wilson St, Los Angeles, CA 90001"
163683,USB-C Charging Cable,1,11.95,03/04/19 22:04,"297 Jefferson St, San Francisco, CA 94016"
163684,USB-C Charging Cable,1,11.95,03/23/19 20:55,"392 Church St, New York City, NY 10001"
163685,USB-C Charging Cable,2,11.95,03/05/19 14:33,"483 11th St, Boston, MA 02215"
163686,Wired Headphones,1,11.99,03/26/19 20:34,"943 Lake St, Austin, TX 73301"
163687,Wired Headphones,1,11.99,03/16/19 12:55,"719 9th St, Atlanta, GA 30301"
