Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
178466,Wired Headphones,1,11.99,05/15/19 12:30,"298 Park St, Boston, MA 02215"
178467,iPhone,1,700.0,05/17/19 20:22,"780 Church St, Austin, TX 73301"
178467,Lightning Charging Cable,1,14.95,05/17/19 20:22,"780 Church St, Austin, TX 73301"
178468,AAA Batteries (4-pack),1,2.99,05/27/19 20:46,"130 6th St, Los Angeles, CA 90001"
178469,USB-C Charging Cable,1,11.95,05/26/19 14:36,"159 Meadow St, San Francisco, CA 94016"
178470,Google Phone,1,600.0,05/02/19 08:52,"156 4th St, Los Angeles, CA 90001"
178470,USB-C Charging Cable,2,11.95,05/02/19 08:52,"156 4th St, Los Angeles, CA 90001"
178471,iPhone,1,700.0,05/06/19 19:30,"207 Ridge St, Dallas, TX 75001"
178472,Apple Airpods Headphones,1,150.0,05/09/19 14:40,"961 Pine St, Atlanta, GA 30301"
178473,Lightning Charging Cable,1,14.95,05/13/19 10:55,"585 Jefferson St, Atlanta, GA 30301"
178474,Lightning Charging Cable,1,14.95,05/13/19 23:02,"688 Dogwood St, Atlanta, GA 30301"
178475,AA Batteries (4-pack),2,3.84,05/09/19 21:58,"881 Pine St, Atlanta, GA 30301"
178476,Apple Airpods Headphones,1,150.0,05/05/19 23:13,"192 Park St, Atlanta, GA 30301"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
178477,AA Batteries (4-pack),1,3.84,05/29/19 06:44,"602 4th St, Los Angeles, CA 90001"
178478,AA Batteries (4-pack),1,3.84,05/24/19 01:30,"617 Willow St, Seattle, WA 98101"
178479,20in Monitor,1,109.99,05/15/19 01:56,"818 9th St, San Francisco, CA 94016"
178480,LG Dryer,1,600.0,05/30/19 11:13,"215 Center St, Portland, OR 97035"
178481,AAA Batteries (4-pack),1,2.99,05/20/19 21:59,"728 9th St, Seattle, WA 98101"
178482,ThinkPad Laptop,1,999.99,05/07/19 19:45,"375 Willow St, Los Angeles, CA 90001"
178483,iPhone,1,700,05/28/19 13:00,"794 8th St, San Francisco, CA 94016"
178483,Apple Airpods Headphones,1,150,05/28/19 13:00,"794 8th St, San Francisco, CA 94016"
178484,Google Phone,1,600,05/04/19 13:37,"669 Meadow St, San Francisco, CA 94016"
178485,Wired Headphones,1,11.99,05/04/19 14:10,"762 Lake St, Dallas, TX 75001"
178486,Lightning Charging Cable,1,14.95,05/30/19 17:29,"557 11th St, Portland, OR 97035"
178487,Flatscreen TV,1,300,05/17/19 12:49,"188 7th St, San Francisco, CA 94016"
178488,AAA Batteries (4-pack),1,2.99,05/10/19 21:29,"666 14th St, New York City, NY 10001"
178489,27in FHD Monitor,1,149.99,05/17/19 17:31,"238 Forest St, San Francisco, CA 94016"
178490,AA Batteries (4-pack),1,3.84,05/31/19 01:36,"100 Maple St, San Francisco, CA 94016"
178491,Bose SoundSport Headphones,1,99.99,05/25/19 19:49,"514 14th St, New York City, NY 10001"
178492,Flatscreen TV,1,300,05/10/19 12:55,"265 South St, San Francisco, CA 94016"
178493,Bose SoundSport Headphones,1,99.99,05/09/19 11:21,"278 11th St, Los Angeles, CA 90001"
178494,Flatscreen TV,1,300,05/29/19 17:12,"92 Hill St, San Francisco, CA 94016"
178495,Flatscreen TV,1,300,05/08/19 20:58,"445 Church St, Boston, MA 02215"
178496,Wired Headphones,1,11.99,05/01/19 14:17,"993 5th St, Austin, TX 73301"
178497,AAA Batteries (4-pack),2,2.99,05/20/19 09:04,"818 1st St, Los Angeles, CA 90001"
178498,27in 4K Gaming Monitor,1,389.99,05/17/19 20:56,"471 2nd St, Dallas, TX 75001"
178499,Apple Airpods Headphones,1,150,05/11/19 12:04,"979 13th St, Los Angeles, CA 90001"
178500,Wired Headphones,1,11.99,05/12/19 18:36,"849 9th St, New York City, NY 10001"
178501,20in Monitor,1,109.99,05/08/19 22:33,"838 Meadow St, San Francisco, CA 94016"
178502,ThinkPad Laptop,1,999.99,05/28/19 07:28,"275 Cherry St, Seattle, WA 98101"
178503,27in FHD Monitor,1,149.99,05/10/19 14:53,"744 Elm St, San Francisco, CA 94016"
178504,AAA Batteries (4-pack),1,2.99,05/09/19 19:51,"825 Church St, Dallas, TX 75001"
178505,AAA Batteries (4-pack),2,2.99,05/04/19 17:45,"833 River St, New York City, NY 10001"
178505,AAA Batteries (4-pack),1,2.99,05/04/19 17:45,"833 River St, New York City, NY 10001"
178506,Bose SoundSport Headphones,1,99.99,05/08/19 19:32,"634 Center St, Los Angeles, CA 90001"
178507,AA Batteries (4-pack),1,3.84,05/18/19 15:11,"206 Walnut St, Los Angeles, CA 90001"
178508,USB-C Charging Cable,1,11.95,05/09/19 19:49,"730 Hickory St, New York City, NY 10001"
178509,Bose SoundSport Headphones,1,99.99,05/21/19 12:27,"2 Dogwood St, Atlanta, GA 30301"
,,,,,
178510,Lightning Charging Cable,1,14.95,05/25/19 20:15,"765 Chestnut St, San Francisco, CA 94016"
178511,Wired Headphones,1,11.99,05/26/19 13:36,"418 Lake St, Los Angeles, CA 90001"
178512,Google Phone,1,600,05/21/19 14:27,"727 Dogwood St, New York City, NY 10001"
178513,USB-C Charging Cable,1,11.95,05/08/19 20:37,"325 Maple St, Los Angeles, CA 90001"
178514,USB-C Charging Cable,1,11.95,05/28/19 15:50,"988 North St, Atlanta, GA 30301"
178515,ThinkPad Laptop,1,999.99,05/17/19 17:57,"226 River St, Dallas, TX 75001"
178516,Flatscreen TV,1,300,05/16/19 21:25,"646 Madison St, Los Angeles, CA 90001"
178517,Bose SoundSport Headphones,1,99.99,05/02/19 13:30,"60 Forest St, San Francisco, CA 94016"
178518,34in Ultrawide Monitor,1,379.99,05/13/19 23:42,"51 Walnut St, Los Angeles, CA 90001"
178519,Bose SoundSport Headphones,1,99.99,05/27/19 21:10,"877 Willow St, San Francisco, CA 94016"
178520,Lightning Charging Cable,1,14.95,05/28/19 08:23,"559 Highland St, Seattle, WA 98101"
178521,Lightning Charging Cable,1,14.95,05/16/19 00:16,"158 Pine St, San Francisco, CA 94016"
178522,27in FHD Monitor,1,149.99,05/06/19 13:31,"379 Johnson St, Los Angeles, CA 90001"
178523,ThinkPad Laptop,1,999.99,05/01/19 22:25,"860 Sunset St, San Francisco, CA 94016"
178524,ThinkPad Laptop,1,999.99,05/08/19 11:37,"17 5th St, Dallas, TX 75001"
178525,Apple Airpods Headphones,1,150,05/29/19 16:25,"836 Adams St, New York City, NY 10001"
178526,AA Batteries (4-pack),1,3.84,05/11/19 01:11,"667 Washington St, Seattle, WA 98101"
178527,Apple Airpods Headphones,1,150,05/13/19 00:52,"876 Hickory St, Los Angeles, CA 90001"
178528,Bose SoundSport Headphones,1,99.99,05/15/19 06:42,"44 Forest St, Los Angeles, CA 90001"
178529,Bose SoundSport Headphones,1,99.99,05/26/19 10:19,"58 Jefferson St, Dallas, TX 75001"
178530,34in Ultrawide Monitor,1,379.99,05/22/19 17:33,"50 Forest St, Seattle, WA 98101"
178531,Lightning Charging Cable,1,14.95,05/21/19 15:46,"645 8th St, Los Angeles, CA 90001"
178532,Wired Headphones,1,11.99,05/09/19 01:39,"457 West St, Boston, MA 02215"
178533,Macbook Pro Laptop,1,1700,05/01/19 12:18,"694 West St, San Francisco, CA 94016"
178534,USB-C Charging Cable,1,11.95,05/23/19 13:57,"100 Park St, New York City, NY 10001"
178534,AA Batteries (4-pack),3,3.84,05/23/19 13:57,"100 Park St, New York City, NY 10001"
178535,Lightning Charging Cable,1,14.95,05/22/19 01:21,"17 12th St, Seattle, WA 98101"
178536,USB-C Charging Cable,1,11.95,05/27/19 08:59,"432 Chestnut St, Seattle, WA 98101"
178537,AA Batteries (4-pack),1,3.84,05/23/19 15:33,"302 Highland St, San Francisco, CA 94016"
178538,AA Batteries (4-pack),3,3.84,05/31/19 09:04,"729 Adams St, San Francisco, CA 94016"
178539,AA Batteries (4-pack),1,3.84,05/15/19 20:00,"758 Adams St, Los Angeles, CA 90001"
178540,USB-C Charging Cable,1,11.95,05/23/19 11:20,"626 Johnson St, Los Angeles, CA 90001"
178541,AA Batteries (4-pack),1,3.84,05/31/19 11:30,"690 4th St, Los Angeles, CA 90001"
178542,USB-C Charging Cable,2,11.95,05/02/19 18:29,"858 1st St, Los Angeles, CA 90001"
178543,Wired Headphones,1,11.99,05/29/19 14:26,"813 West St, Atlanta, GA 30301"
178544,AA Batteries (4-pack),1,3.84,05/24/19 09:50,"764 4th St, Austin, TX 73301"
178545,34in Ultrawide Monitor,1,379.99,05/01/19 18:18,"236 Willow St, Seattle, WA 98101"
178546,Macbook Pro Laptop,1,1700,05/08/19 18:29,"146 4th St, San Francisco, CA 94016"
178547,Lightning Charging Cable,1,14.95,05/24/19 13:42,"28 Elm St, San Francisco, CA 94016"
178548,Wired Headphones,1,11.99,05/19/19 10:49,"543 Pine St, Boston, MA 02215"
178549,27in 4K Gaming Monitor,1,389.99,05/06/19 15:46,"106 Lakeview St, Los Angeles, CA 90001"
178550,Apple Airpods Headphones,1,150,05/16/19 10:52,"6 Meadow St, Seattle, WA 98101"
178551,Lightning Charging Cable,1,14.95,05/06/19 18:18,"750 Highland St, Portland, OR 97035"
178552,Wired Headphones,1,11.99,05/10/19 15:00,"225 Meadow St, San Francisco, CA 94016"
178553,AAA Batteries (4-pack),2,2.99,05/24/19 12:10,"735 Madison St, Portland, OR 97035"
178554,Bose SoundSport Headphones,1,99.99,05/28/19 15:50,"341 Hill St, Los Angeles, CA 90001"
178555,USB-C Charging Cable,1,11.95,05/16/19 14:45,"567 Johnson St, San Francisco, CA 94016"
178556,Apple Airpods Headphones,1,150,05/09/19 18:27,"677 Willow St, Portland, OR 97035"
178557,Wired Headphones,1,11.99,05/18/19 12:30,"33 Adams St, New York City, NY 10001"
178558,AAA Batteries (4-pack),1,2.99,05/06/19 18:19,"233 Park St, San Francisco, CA 94016"
178559,Bose SoundSport Headphones,1,99.99,05/14/19 15:43,"639 Sunset St, San Francisco, CA 94016"
178560,Flatscreen TV,1,300,05/16/19 13:01,"83 8th St, New York City, NY 10001"
178561,AA Batteries (4-pack),1,3.84,05/18/19 11:18,"80 North St, Portland, OR 97035"
178562,Wired Headphones,1,11.99,05/06/19 13:38,"115 7th St, Atlanta, GA 30301"
178563,20in Monitor,1,109.99,05/18/19 09:54,"406 Madison St, San Francisco, CA 94016"
178564,Flatscreen TV,1,300,05/02/19 01:47,"19 2nd St, New York City, NY 10001"
178565,AAA Batteries (4-pack),2,2.99,05/23/19 17:07,"42 Jefferson St, Dallas, TX 75001"
178566,AAA Batteries (4-pack),1,2.99,05/17/19 12:46,"196 10th St, San Francisco, CA 94016"
178567,USB-C Charging Cable,1,11.95,05/16/19 13:02,"674 Johnson St, Austin, TX 73301"
178568,Apple Airpods Headphones,1,150,05/06/19 15:38,"751 Main St, San Francisco, CA 94016"
178569,AA Batteries (4-pack),1,3.84,05/31/19 22:12,"476 4th St, San Francisco, CA 94016"
178570,LG Dryer,1,600.0,05/20/19 22:12,"721 South St, Los Angeles, CA 90001"
178571,Apple Airpods Headphones,1,150,05/24/19 17:15,"632 Sunset St, Atlanta, GA 30301"
178572,Bose SoundSport Headphones,1,99.99,05/13/19 09:49,"41 Cherry St, Los Angeles, CA 90001"
178573,AAA Batteries (4-pack),1,2.99,05/09/19 23:24,"883 Lincoln St, Atlanta, GA 30301"
178574,Lightning Charging Cable,2,14.95,05/12/19 21:09,"625 Jefferson St, New York City, NY 10001"
178575,Lightning Charging Cable,1,14.95,05/03/19 22:25,"937 Walnut St, Seattle, WA 98101"
178576,27in 4K Gaming Monitor,1,389.99,05/05/19 10:55,"274 Pine St, New York City, NY 10001"
178577,Wired Headphones,1,11.99,05/14/19 14:39,"537 6th St, Atlanta, GA 30301"
178578,AAA Batteries (4-pack),1,2.99,05/24/19 13:18,"607 Elm St, San Francisco, CA 94016"
178579,AA Batteries (4-pack),1,3.84,05/25/19 19:16,"731 Cherry St, Los Angeles, CA 90001"
178580,AAA Batteries (4-pack),1,2.99,05/27/19 17:45,"170 Chestnut St, New York City, NY 10001"
178581,AAA Batteries (4-pack),1,2.99,05/21/19 21:16,"702 Sunset St, San Francisco, CA 94016"
178582,34in Ultrawide Monitor,1,379.99,05/11/19 10:20,"662 5th St, New York City, NY 10001"
178583,Apple Airpods Headphones,1,150,05/22/19 07:09,"549 Highland St, Los Angeles, CA 90001"
178584,Lightning Charging Cable,1,14.95,05/01/19 15:38,"447 10th St, New York City, NY 10001"
178585,Bose SoundSport Headphones,1,99.99,05/03/19 23:03,"792 Sunset St, Seattle, WA 98101"
178586,34in Ultrawide Monitor,1,379.99,05/25/19 18:45,"637 Lake St, Los Angeles, CA 90001"
178587,USB-C Charging Cable,1,11.95,05/24/19 10:21,"925 Dogwood St, San Francisco, CA 94016"
178588,AAA Batteries (4-pack),1,2.99,05/15/19 21:41,"119 6th St, Los Angeles, CA 90001"
